number,draft,opened,closed,ballot_type,pool,vote_for,vote_against,vote_abstain,vote_invalid,comments,instructions_url,draft_url,redline_url,resolution_url,template_url,pool_url,project_id,project.task_group
140,4.00,2008-11-19,2008-12-19,WI,254,149,36,40,,,http://www.ieee802.org/11/LetterBallots/LB140v/LB140_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D4.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D4.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/11-08-0801-05-000v-lb133-comments.xls,http://www.ieee802.org/11/LetterBallots/LB140v/LB140_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB140v/LB140_voters_list.xls,71,TGv
141,5.00,2008-11-20,2008-12-05,WR,232,149,26,35,,,http://www.ieee802.org/11/LetterBallots/LB141p/LB141_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11p/Draft P802.11p_D5.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11p/Draft P802.11p_D5.0 Redline Compared to P802.11p_D4.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11p/11-08-0514-06-000p-lb125-tgp-comment-resolution-master.xls,http://www.ieee802.org/11/LetterBallots/LB141p/LB141_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB141p/LB141_voters_list.xls,117,TGp
142,5.00,2009-02-05,2009-02-20,WR,213,125,27,39,,,http://www.ieee802.org/11/LetterBallots/LB142u/LB142_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D5.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D5.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/11-08-1225-25-000u-lb137-comment-spreadsheet.xls,http://www.ieee802.org/11/LetterBallots/LB142u/LB142_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB142u/LB142_voters_list.xls,64,TGu
143,4.00,2009-02-18,2009-03-05,WR,254,170,23,37,,,http://www.ieee802.org/11/LetterBallots/LB143z/LB143_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11z/Draft P802.11z_D4.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11z/Draft P802.11z_D4.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11z/11-09-0097-02-000z-lb139-comment-resolution.xls,http://www.ieee802.org/11/LetterBallots/LB143z/LB143_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB143z/LB143_voters_list.xls,113,TGz
144,6.00,2009-03-16,2009-03-31,WR,232,161,20,29,,,http://www.ieee802.org/11/LetterBallots/LB144p/LB144_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11p/Draft P802.11p_D6.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11p/Draft P802.11p_6.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11p/11-08-1452-06-000p-lb141-tgp-comment-resolution-master.xls,http://www.ieee802.org/11/LetterBallots/LB144p/LB144_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB144p/LB144_voters_list.xls,117,TGp
145,3.00,2009-03-19,2009-04-03,PROC,247,166,6,24,,,http://www.ieee802.org/11/LetterBallots/LB145s/LB145_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11s/Draft P802.11s_D3.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB145s/LB145_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB145s/LB145_voters_list.xls,40,TGs
146,5.00,2009-03-20,2009-04-04,WR,254,155,32,41,,,http://www.ieee802.org/11/LetterBallots/LB146v/LB146_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D5.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D5.0 Redline Compared to P802.11v_D4.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/11-08-1467-04-000v-lb140-comments.xls,http://www.ieee802.org/11/LetterBallots/LB146v/LB146_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB146v/LB146_voters_list.xls,71,TGv
147,3.00,2009-04-04,2009-05-04,WI,248,132,35,34,,,http://www.ieee802.org/11/LetterBallots/LB147s/LB147_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11s/Draft P802.11s_D3.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB147s/LB147_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB147s/LB147_voters_list.xls,40,TGs
148,6.00,2009-04-09,2009-04-24,WR,213,142,15,35,,,http://www.ieee802.org/11/LetterBallots/LB148u/LB148_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D6.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D6.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/11-09-0245-10-000u-lb142-comment-spreadsheet.xls,http://www.ieee802.org/11/LetterBallots/LB148u/LB148_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB148u/LB148_voters_list.xls,64,TGu
149,1.00,2009-05-18,2009-06-27,WI,246,155,23,29,,,http://www.ieee802.org/11/LetterBallots/LB149mb/LB149_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11mb/Draft P802.11REVmb_D1.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB149mb/LB149_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB149mb/LB149_voters_list.xls,38,TGmb
150,6.00,2009-05-28,2009-06-12,WR,254,172,20,38,,,http://www.ieee802.org/11/LetterBallots/LB150v/LB150_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D6.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D6.0 Redline Compared to P802.11v_D5.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/11-09-0434-04-000v-lb146.xls,http://www.ieee802.org/11/LetterBallots/LB150v/LB150_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB150v/LB150_voters_list.xls,71,TGv
151,7.00,2009-05-29,2009-06-13,WR,232,158,27,26,,,http://www.ieee802.org/11/LetterBallots/LB151p/LB151_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11p/Draft P802.11p_D7.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11p/Draft P802.11p_D7.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11p/11-09-0432-05-000p-lb144-tgp-comment-resolution-master.xls,http://www.ieee802.org/11/LetterBallots/LB151p/LB151_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB151p/LB151_voters_list.xls,117,TGp
152,7.00,2009-06-04,2009-06-19,WR,213,142,19,33,,,http://www.ieee802.org/11/LetterBallots/LB152u/LB152_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D7.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D7.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/11-09-0489-13-000u-lb148-comment-spreadsheet.xls,http://www.ieee802.org/11/LetterBallots/LB152u/LB152_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB152u/LB152_voters_list.xls,64,TGu
153,5.00,2009-06-08,2009-06-23,WR,254,183,15,34,,,http://www.ieee802.org/11/LetterBallots/LB153z/LB153_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11z/Draft P802.11z_D5.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11z/Draft P802.11z_D5.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11z/11-09-0313-03-000z-tgz-lb143-comment-spreadsheet.xls,http://www.ieee802.org/11/LetterBallots/LB153z/LB153_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB153z/LB153_voters_list.xls,113,TGz
154,8.00,2009-07-21,2009-08-05,WR,232,163,20,28,,,http://www.ieee802.org/11/LetterBallots/LB154p/LB154_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11p/Draft P802.11p_D8.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11p/Draft P802.11p_D8.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11p/11-09-0688-03-000p-LB151-TGp Comment Resolution Master2.xls,http://www.ieee802.org/11/LetterBallots/LB154p/LB154_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB154p/LB154_voters_list.xls,117,TGp
155,7.00,2009-07-23,2009-08-07,WR,254,176,16,38,,,http://www.ieee802.org/11/LetterBallots/LB155v/LB155_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D7.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D7.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/11-09-0676-07-000v-lb-150-comments.xls,http://www.ieee802.org/11/LetterBallots/LB155v/LB155_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB155v/LB155_voters_list.xls,71,TGv
156,8.00,2009-08-03,2009-08-18,WR,213,148,11,35,,,http://www.ieee802.org/11/LetterBallots/LB156u/LB156_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D8.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D8.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/11-09-0692-14-000u-lb152-comment-spreadsheet.xls,http://www.ieee802.org/11/LetterBallots/LB156u/LB156_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB156u/LB156_voters_list.xls,64,TGu
